bvid,title,description,category_name,upload_time,upload_date,upload_hour,duration,up_name,views,danmaku,likes,coins,favorites,shares,reply
BV1ghTF6qEmD,永远怀念我们亲爱的妹爷！,,小剧场,2026-06-30 18:47:05,2026-06-30,18,124,陈翔六点半,1791278,23393,258362,93675,20416,12685,10831
BV15LKd6wEtR,哪来的傻孩子啊,,网络游戏,2026-06-30 11:02:25,2026-06-30,11,259,_离咕咕,2591154,925,161115,5299,23287,9371,1049
BV1RVKd6YERS,高考652分，想报土木工程啊？？？？？？,,搞笑,2026-06-30 19:00:00,2026-06-30,19,158,小小段砸,1007998,925,61109,5668,4118,2820,4018
BV1Zcj66QEgR,【剧情】心间错（2026）21【 朱正廷 / 哈妮克孜 】,,国产剧,2026-06-21 12:00:06,2026-06-21,12,1874,迷影社,381800,1855,2956,809,1021,719,168
BV1dsTL6dEkB,苗族银饰,,手工,2026-06-29 22:00:00,2026-06-29,22,689,归乡人山白,4004839,4298,352724,130617,37923,6323,4409
BV1yyTF6ZEbv,骗成狗了,,搞笑,2026-06-30 17:02:08,2026-06-30,17,1439,小潮院长,1665699,12531,168136,59877,40594,2437,3228
BV1UfKQ6LEtE,真是一台好车,,汽车生活,2026-06-30 11:00:00,2026-06-30,11,1870,极速拍档,1661413,3754,37083,14179,8426,1848,1387
BV1ZrKQ6oEyX,看来痒痒鼠是铁了心要过十周年,,日常,2026-06-29 18:46:34,2026-06-29,18,144,青木雄太,522016,85,28998,998,2227,401,345
BV1GMKQ6nEy7,导员 我们真不是故意的…,,小剧场,2026-06-29 19:28:56,2026-06-29,19,36,CCCmlng小陈不憨,2991222,655,207918,2301,20764,4409,1124
BV1U87E6jE6G,2026年7-9月国创夏季导视-哔哩哔哩版权国创,,资讯,2026-06-28 14:00:02,2026-06-28,14,1341,哔哩哔哩国创,232062,324,3804,208,994,193,376
BV1k2KU6oEGB,《原神》角色预告-「桑多涅：致新生」,,手机游戏,2026-06-30 12:00:00,2026-06-30,12,686,原神,1818161,11902,240543,116848,50135,22420,9985
BV1G4TF6gERg,《灰境行者》PC实机丨先导预告,,GMV,2026-06-30 18:46:46,2026-06-30,18,22,灰境行者,1030142,249,37614,3712,6131,7011,2884
BV1yNTw6AEvr,夜坝买命记！！！,,同人·手书,2026-06-30 23:18:00,2026-06-30,23,225,超级蓝狼狼,413605,435,34341,2020,3820,416,1658
BV1xMTK62EMZ,如果你走错路，跑到地球十五万光年外的宇宙坟场，你是选择直面现实静待死亡，还是选择忘记现实，沉浸在美好的虚幻当中,,影视杂谈,2026-06-28 13:37:20,2026-06-28,13,824,未尽长河解说,948553,1196,56055,951,9675,507,1899
BV1rz7569EWw,找到了10年前跪舔b站的视频,,搞笑,2026-06-26 17:53:12,2026-06-26,17,439,逗比的雀巢,12752441,22525,1253458,720010,355401,59818,21231
BV1ugKS63E18,人类...完蛋了...,,搞笑,2026-06-29 17:00:00,2026-06-29,17,96,请叫我小严子,2373895,886,142276,4840,26463,15520,2988
BV1VbTw62EYq,当永夜末日降临，文明会如何发展？,,单机游戏,2026-06-30 22:14:07,2026-06-30,22,3785,末影大黑,231448,4555,28730,25385,16330,2606,3730
BV1STKo6xE7B,循环歌单|《超人の小曲》《英雄の小曲》Towards the Light,,乐评盘点,2026-06-30 08:57:05,2026-06-30,8,3048,XFinds寻宝,2054912,559,148431,3473,44152,783,2122
BV1XFKo6cEX6,想毁了软弹圈吗？某些商家正在把发射器变成致命武器！你们是打算猎杀同类吗？,,模玩·周边,2026-06-30 10:05:00,2026-06-30,10,103,战恒玖,968134,1376,58359,673,3521,1530,1659
BV1jZKU6JEFW,⚡《大 声 喊 出 我 的 名 字 吧》⚡,,特摄,2026-06-29 17:35:20,2026-06-29,17,541,蓬莱小稽,260478,1233,37767,3993,12531,4047,1475
BV1a5T56yEcP,普通僵尸太普通，终于玩上超标的尸壳了【我是僵尸】,,单机游戏,2026-06-30 09:00:00,2026-06-30,9,324,磊哥游戏,1351755,1218,102738,8403,9873,996,1562
BV18wTM6bEoj,喵咪屁股摸不得,,日常,2026-06-28 17:09:45,2026-06-28,17,41,甜小derr,2365739,1740,114132,928,18264,24571,3957
BV1F6K96TEaW,兜 帽 难 藏 泪 4,,同人·手书,2026-06-30 10:00:00,2026-06-30,10,114,sss技巧吐槽,669529,934,89126,37456,24073,12246,3090
BV1hQ7Y6tEgH,左手《Luvsic》，右手《夜，萤火虫和你》，是什么感觉？,,演奏,2026-06-25 19:02:18,2026-06-25,19,96,桓桓Aileen,16947430,2603,1117475,182615,778241,23159,16183
BV1pm7n6kExn,"""超算小姐，这一次，我一定要带你出去...""",,网络游戏,2026-06-27 12:33:25,2026-06-27,12,233,HL-Flame,4600340,3388,397129,164368,146478,19732,4331
